Vertex              Tree      Parent              
12345769108         2         13245769108         
12345769108         3         12435769108         
12345769108         4         12354769108         
12345769108         5         12347569108         
12345769108         6         12345796108         
12345769108         7         12345679108         
12345769108         8         12345769810         
12345769108         9         12345761098         
12345761089         1         21345761089         
12345761089         2         13245761089         
12345761089         3         12435761089         
12345761089         4         12354761089         
12345761089         5         12347561089         
12345761089         6         12345710689         
12345761089         7         12345671089         
12345761089         8         12345761098         
12345761089         9         12345768109         
12345761098         1         21345761098         
12345761098         2         13245761098         
12345761098         3         12435761098         
12345761098         4         12354761098         
12345761098         5         12347561098         
12345761098         6         12345710698         
12345761098         7         12345671098         
12345761098         8         12345769108         
12345761098         9         12345761089         
12345786910         1         12345789610         
12345786910         2         13425786910         
12345786910         3         12345789610         
12345786910         4         12345789610         
12345786910         5         12345789610         
12345786910         6         12345789610         
12345786910         7         12345789610         
12345786910         8         12345789610         
12345786910         9         12345786109         
12345786109         1         12345786910         
12345786109         2         21345786109         
12345786109         3         13245786109         
12345786109         4         12435786109         
12345786109         5         12354786109         
12345786109         6         12347586109         
12345786109         7         12345781069         
12345786109         8         12345876109         
12345786109         9         12345768109         
12345789610         1         21345789610         
12345789610         2         13425789610         
12345789610         3         12435789610         
12345789610         4         12354789610         
12345789610         5         12347589610         
12345789610         6         12345789106         
12345789610         7         12345879610         
12345789610         8         12345798610         
12345789610         9         12345789106         
12345789106         1         21345789106         
12345789106         2         13245789106         
12345789106         3         12435789106         
12345789106         4         12354789106         
12345789106         5         12347589106         
12345789106         6         12345789610         
12345789106         7         12345879106         
12345789106         8         12345798106         
12345789106         9         12345781096         
12345781069         1         21345781069         
12345781069         2         13245781069         
12345781069         3         12435781069         
12345781069         4         12354781069         
12345781069         5         12347581069         
12345781069         6         12345781096         
12345781069         7         12345871069         
12345781069         8         12345710869         
12345781069         9         12345786109         
12345781096         1         21345781096         
12345781096         2         13245781096         
12345781096         3         12435781096         
12345781096         4         12354781096         
12345781096         5         12347581096         
12345781096         6         12345789106         
12345781096         7         12345871096         
12345781096         8         12345710896         
12345781096         9         12345781069         
12345796810         1         21345796810         
12345796810         2         13425796810         
12345796810         3         12435796810         
12345796810         4         12354796810         
12345796810         5         12347596810         
12345796810         6         12345798610         
12345796810         7         12345976810         
12345796810         8         12345796108         
12345796810         9         12345796108         
12345796108         1         21345796108         
12345796108         2         13245796108         
12345796108         3         12435796108         
12345796108         4         12354796108         
12345796108         5         12347596108         
12345796108         6         12345791068         
12345796108         7         12345976108         
12345796108         8         12345796810         
12345796108         9         12345769108         
12345798610         1         21345798610         
12345798610         2         13425798610         
12345798610         3         12435798610         
12345798610         4         12354798610         
12345798610         5         12347598610         
12345798610         6         12345798106         
12345798610         7         12345978610         
12345798610         8         12345796810         
12345798610         9         12345798106         
12345798106         1         21345798106         
12345798106         2         13245798106         
12345798106         3         12435798106         
12345798106         4         12354798106         
12345798106         5         12347598106         
12345798106         6         12345798610         
12345798106         7         12345978106         
12345798106         8         12345791086         
12345798106         9         12345789106         
12345791068         1         21345791068         
12345791068         2         13245791068         
12345791068         3         12435791068         
12345791068         4         12354791068         
12345791068         5         12347591068         
12345791068         6         12345791086         
12345791068         7         12345971068         
12345791068         8         12345796108         
12345791068         9         12345710968         
12345791086         1         21345791086         
12345791086         2         13245791086         
12345791086         3         12435791086         
12345791086         4         12354791086         
12345791086         5         12347591086         
12345791086         6         12345798106         
12345791086         7         12345971086         
12345791086         8         12345791068         
12345791086         9         12345710986         
12345710689         1         21345710689         
12345710689         2         13245710689         
12345710689         3         12435710689         
12345710689         4         12354710689         
12345710689         5         12347510689         
12345710689         6         12345710869         
12345710689         7         12345107689         
12345710689         8         12345710698         
12345710689         9         12345761089         
12345710698         1         21345710698         
12345710698         2         13245710698         
12345710698         3         12435710698         
12345710698         4         12354710698         
12345710698         5         12347510698         
12345710698         6         12345710968         
12345710698         7         12345107698         
12345710698         8         12345761098         
12345710698         9         12345710689         
12345710869         1         21345710869         
12345710869         2         13245710869         
12345710869         3         12435710869         
12345710869         4         12354710869         
12345710869         5         12347510869         
12345710869         6         12345710896         
12345710869         7         12345107869         
12345710869         8         12345710689         
12345710869         9         12345781069         
12345710896         1         21345710896         
12345710896         2         13245710896         
12345710896         3         12435710896         
12345710896         4         12354710896         
12345710896         5         12347510896         
12345710896         6         12345781096         
12345710896         7         12345107896         
12345710896         8         12345710986         
12345710896         9         12345710869         
12345710968         1         21345710968         
12345710968         2         13245710968         
12345710968         3         12435710968         
12345710968         4         12354710968         
12345710968         5         12347510968         
12345710968         6         12345710986         
12345710968         7         12345107968         
12345710968         8         12345791068         
12345710968         9         12345710698         
12345710986         1         21345710986         
12345710986         2         13245710986         
12345710986         3         12435710986         
12345710986         4         12354710986         
12345710986         5         12347510986         
12345710986         6         12345791086         
12345710986         7         12345107986         
12345710986         8         12345710968         
12345710986         9         12345710896         
12345867910         1         12345869710         
12345867910         2         13425867910         
12345867910         3         12345869710         
12345867910         4         12345869710         
12345867910         5         12345869710         
12345867910         6         12345869710         
12345867910         7         12345869710         
12345867910         8         12345869710         
12345867910         9         12345867109         
12345867109         1         12345867910         
12345867109         2         21345867109         
12345867109         3         13245867109         
12345867109         4         12435867109         
12345867109         5         12354867109         
12345867109         6         12348567109         
12345867109         7         12345876109         
12345867109         8         12345861079         
12345867109         9         12345687109         
12345869710         1         21345869710         
12345869710         2         13425869710         
12345869710         3         12435869710         
12345869710         4         12354869710         
12345869710         5         12348569710         
12345869710         6         12345896710         
12345869710         7         12345869107         
12345869710         8         12345689710         
12345869710         9         12345869107         
12345869107         1         21345869107         
12345869107         2         13245869107         
12345869107         3         12435869107         
12345869107         4         12354869107         
12345869107         5         12348569107         
12345869107         6         12345896107         
12345869107         7         12345869710         
12345869107         8         12345689107         
12345869107         9         12345861097         
12345861079         1         21345861079         
12345861079         2         13245861079         
12345861079         3         12435861079         
12345861079         4         12354861079         
12345861079         5         12348561079         
12345861079         6         12345810679         
12345861079         7         12345861097         
12345861079         8         12345681079         
12345861079         9         12345867109         
12345861097         1         21345861097         
12345861097         2         13245861097         
12345861097         3         12435861097         
12345861097         4         12354861097         
12345861097         5         12348561097         
12345861097         6         12345810697         
12345861097         7         12345869107         
12345861097         8         12345681097         
12345861097         9         12345861079         
12345876910         1         12345879610         
12345876910         2         13425876910         
12345876910         3         12345879610         
12345876910         4         12345879610         
12345876910         5         12345879610         
12345876910         6         12345879610         
12345876910         7         12345879610         
12345876910         8         12345879610         
12345876910         9         12345876109         
12345876109         1         12345876910         
12345876109         2         21345876109         
12345876109         3         13245876109         
12345876109         4         12435876109         
12345876109         5         12354876109         
12345876109         6         12348576109         
12345876109         7         12345871069         
12345876109         8         12345867109         
12345876109         9         12345786109         
12345879610         1         21345879610         
12345879610         2         13425879610         
12345879610         3         12435879610         
12345879610         4         12354879610         
12345879610         5         12348579610         
12345879610         6         12345879106         
12345879610         7         12345897610         
12345879610         8         12345789610         
12345879610         9         12345879106         
12345879106         1         21345879106         
12345879106         2         13245879106         
12345879106         3         12435879106         
12345879106         4         12354879106         
12345879106         5         12348579106         
12345879106         6         12345879610         
12345879106         7         12345897106         
12345879106         8         12345789106         
12345879106         9         12345871096         
12345871069         1         21345871069         
12345871069         2         13245871069         
12345871069         3         12435871069         
12345871069         4         12354871069         
12345871069         5         12348571069         
12345871069         6         12345871096         
12345871069         7         12345810769         
12345871069         8         12345781069         
12345871069         9         12345876109         
12345871096         1         21345871096         
12345871096         2         13245871096         
12345871096         3         12435871096         
12345871096         4         12354871096         
12345871096         5         12348571096         
12345871096         6         12345879106         
12345871096         7         12345810796         
12345871096         8         12345781096         
12345871096         9         12345871069         
12345896710         1         21345896710         
12345896710         2         13425896710         
12345896710         3         12435896710         
12345896710         4         12354896710         
12345896710         5         12348596710         
12345896710         6         12345897610         
12345896710         7         12345896107         
12345896710         8         12345986710         
12345896710         9         12345896107         
12345896107         1         21345896107         
12345896107         2         13245896107         
12345896107         3         12435896107         
12345896107         4         12354896107         
12345896107         5         12348596107         
12345896107         6         12345891067         
12345896107         7         12345896710         
12345896107         8         12345986107         
12345896107         9         12345869107         
12345897610         1         21345897610         
12345897610         2         13425897610         
12345897610         3         12435897610         
12345897610         4         12354897610         
12345897610         5         12348597610         
12345897610         6         12345897106         
12345897610         7         12345896710         
12345897610         8         12345987610         
12345897610         9         12345897106         
12345897106         1         21345897106         
12345897106         2         13245897106         
12345897106         3         12435897106         
12345897106         4         12354897106         
12345897106         5         12348597106         
12345897106         6         12345897610         
12345897106         7         12345891076         
12345897106         8         12345987106         
12345897106         9         12345879106         
12345891067         1         21345891067         
12345891067         2         13245891067         
12345891067         3         12435891067         
12345891067         4         12354891067         
12345891067         5         12348591067         
12345891067         6         12345891076         
12345891067         7         12345896107         
12345891067         8         12345981067         
12345891067         9         12345810967         
12345891076         1         21345891076         
12345891076         2         13245891076         
12345891076         3         12435891076         
12345891076         4         12354891076         
12345891076         5         12348591076         
12345891076         6         12345897106         
12345891076         7         12345891067         
12345891076         8         12345981076         
12345891076         9         12345810976         
12345810679         1         21345810679         
12345810679         2         13245810679         
12345810679         3         12435810679         
12345810679         4         12354810679         
12345810679         5         12348510679         
12345810679         6         12345810769         
12345810679         7         12345810697         
12345810679         8         12345108679         
12345810679         9         12345861079         
12345810697         1         21345810697         
12345810697         2         13245810697         
12345810697         3         12435810697         
12345810697         4         12354810697         
12345810697         5         12348510697         
12345810697         6         12345810967         
12345810697         7         12345861097         
12345810697         8         12345108697         
12345810697         9         12345810679         
12345810769         1         21345810769         
12345810769         2         13245810769         
12345810769         3         12435810769         
12345810769         4         12354810769         
12345810769         5         12348510769         
12345810769         6         12345810796         
12345810769         7         12345810679         
12345810769         8         12345108769         
12345810769         9         12345871069         
12345810796         1         21345810796         
12345810796         2         13245810796         
12345810796         3         12435810796         
12345810796         4         12354810796         
12345810796         5         12348510796         
12345810796         6         12345871096         
12345810796         7         12345810976         
12345810796         8         12345108796         
12345810796         9         12345810769         
12345810967         1         21345810967         
12345810967         2         13245810967         
12345810967         3         12435810967         
12345810967         4         12354810967         
12345810967         5         12348510967         
12345810967         6         12345810976         
12345810967         7         12345891067         
12345810967         8         12345108967         
12345810967         9         12345810697         
12345810976         1         21345810976         
12345810976         2         13245810976         
12345810976         3         12435810976         
12345810976         4         12354810976         
12345810976         5         12348510976         
12345810976         6         12345891076         
12345810976         7         12345810967         
12345810976         8         12345108976         
12345810976         9         12345810796         
12345967810         1         21345967810         
12345967810         2         13425967810         
12345967810         3         12435967810         
12345967810         4         12354967810         
12345967810         5         12349567810         
12345967810         6         12345976810         
12345967810         7         12345968710         
12345967810         8         12345967108         
12345967810         9         12345967108         
12345967108         1         21345967108         
12345967108         2         13245967108         
12345967108         3         12435967108         
12345967108         4         12354967108         
12345967108         5         12349567108         
12345967108         6         12345976108         
12345967108         7         12345961078         
12345967108         8         12345967810         
12345967108         9         12345697108         
12345968710         1         21345968710         
12345968710         2         13425968710         
12345968710         3         12435968710         
12345968710         4         12354968710         
12345968710         5         12349568710         
12345968710         6         12345986710         
12345968710         7         12345968107         
12345968710         8         12345967810         
12345968710         9         12345968107         
12345968107         1         21345968107         
12345968107         2         13245968107         
12345968107         3         12435968107         
12345968107         4         12354968107         
12345968107         5         12349568107         
12345968107         6         12345986107         
12345968107         7         12345968710         
12345968107         8         12345961087         
12345968107         9         12345698107         
12345961078         1         21345961078         
12345961078         2         13245961078         
12345961078         3         12435961078         
12345961078         4         12354961078         
12345961078         5         12349561078         
12345961078         6         12345910678         
12345961078         7         12345961087         
12345961078         8         12345967108         
12345961078         9         12345691078         
12345961087         1         21345961087         
12345961087         2         13245961087         
12345961087         3         12435961087         
12345961087         4         12354961087         
12345961087         5         12349561087         
12345961087         6         12345910687         
12345961087         7         12345968107         
12345961087         8         12345961078         
12345961087         9         12345691087         
12345976810         1         21345976810         
12345976810         2         13425976810         
12345976810         3         12435976810         
12345976810         4         12354976810         
12345976810         5         12349576810         
12345976810         6         12345978610         
12345976810         7         12345967810         
12345976810         8         12345976108         
12345976810         9         12345976108         
12345976108         1         21345976108         
12345976108         2         13245976108         
12345976108         3         12435976108         
12345976108         4         12354976108         
12345976108         5         12349576108         
12345976108         6         12345971068         
12345976108         7         12345967108         
12345976108         8         12345976810         
12345976108         9         12345796108         
12345978610         1         21345978610         
12345978610         2         13425978610         
12345978610         3         12435978610         
12345978610         4         12354978610         
12345978610         5         12349578610         
12345978610         6         12345978106         
12345978610         7         12345987610         
12345978610         8         12345976810         
12345978610         9         12345978106         
12345978106         1         21345978106         
12345978106         2         13245978106         
12345978106         3         12435978106         
12345978106         4         12354978106         
12345978106         5         12349578106         
12345978106         6         12345978610         
12345978106         7         12345987106         
12345978106         8         12345971086         
12345978106         9         12345798106         
12345971068         1         21345971068         
12345971068         2         13245971068         
12345971068         3         12435971068         
12345971068         4         12354971068         
