Rank    Vertex              Tree      Parent              
       1         12345108967         3         12435108967
       1         12345108967         4         12354108967
       1         12345108967         5         12341058967
       1         12345108967         6         12345108976
       1         12345108967         7         12345810967
       1         12345108967         8         12345109867
       1         12345108967         9         12345108697
       1         12345108976         1         21345108976
       1         12345108976         2         13245108976
       1         12345108976         3         12435108976
       1         12345108976         4         12354108976
       1         12345108976         5         12341058976
       1         12345108976         6         12345810976
       1         12345108976         7         12345108967
       1         12345108976         8         12345109876
       1         12345108976         9         12345108796
       1         12345109678         1         21345109678
       1         12345109678         2         13245109678
       1         12345109678         3         12435109678
       1         12345109678         4         12354109678
       1         12345109678         5         12341059678
       1         12345109678         6         12345109768
       1         12345109678         7         12345109687
       1         12345109678         8         12345910678
       1         12345109678         9         12345106978
       1         12345109687         1         21345109687
       1         12345109687         2         13245109687
       1         12345109687         3         12435109687
       1         12345109687         4         12354109687
       1         12345109687         5         12341059687
       1         12345109687         6         12345109867
       1         12345109687         7         12345910687
       1         12345109687         8         12345109678
       1         12345109687         9         12345106987
       1         12345109768         1         21345109768
       1         12345109768         2         13245109768
       1         12345109768         3         12435109768
       1         12345109768         4         12354109768
       1         12345109768         5         12341059768
       1         12345109768         6         12345109786
       1         12345109768         7         12345109678
       1         12345109768         8         12345910768
       1         12345109768         9         12345107968
       1         12345109786         1         21345109786
       1         12345109786         2         13245109786
       1         12345109786         3         12435109786
       1         12345109786         4         12354109786
       1         12345109786         5         12341059786
       1         12345109786         6         12345910786
       1         12345109786         7         12345109876
       1         12345109786         8         12345109768
       1         12345109786         9         12345107986
       1         12345109867         1         21345109867
       1         12345109867         2         13245109867
       1         12345109867         3         12435109867
       1         12345109867         4         12354109867
       1         12345109867         5         12341059867
       1         12345109867         6         12345109876
       1         12345109867         7         12345910867
       1         12345109867         8         12345109687
       1         12345109867         9         12345108967
       1         12345109876         1         21345109876
       1         12345109876         2         13245109876
       1         12345109876         3         12435109876
       1         12345109876         4         12354109876
       1         12345109876         5         12341059876
       1         12345109876         6         12345910876
       1         12345109876         7         12345109867
       1         12345109876         8         12345109786
       1         12345109876         9         12345108976
